station_id,phase_time,phase_score,phase_type,dt
C,2017-03-03 18:39:58.298,0.415,P,0.01
C,2017-03-03 18:42:23.278,0.49,P,0.01
C,2017-03-03 18:46:32.778,0.523,P,0.01
C,2017-03-03 18:58:53.518,0.428,P,0.01
C,2017-03-03 19:00:51.438,0.399,P,0.01
C,2017-03-03 19:08:18.528,0.458,P,0.01
C,2017-03-03 19:08:22.408,0.48,P,0.01
C,2017-03-03 19:12:23.618,0.51,P,0.01
C,2017-03-03 19:28:32.378,0.416,P,0.01
C,2017-03-03 19:31:40.658,0.505,P,0.01
C,2017-03-03 19:40:08.848,0.841,P,0.01
C,2017-03-03 19:41:35.158,0.332,P,0.01
C,2017-03-03 19:48:27.418,0.546,P,0.01
C,2017-03-03 19:57:58.238,0.414,P,0.01
C,2017-03-03 19:58:38.008,0.553,P,0.01
C,2017-03-03 20:20:37.888,0.458,P,0.01
C,2017-03-03 20:25:25.178,0.399,P,0.01
C,2017-03-03 20:27:35.618,0.328,P,0.01
C,2017-03-03 20:38:22.378,0.422,P,0.01
C,2017-03-03 20:40:43.938,0.311,P,0.01
C,2017-03-03 20:46:37.458,0.357,P,0.01
C,2017-03-03 20:58:38.378,0.383,P,0.01
C,2017-03-03 20:59:58.918,0.352,P,0.01
C,2017-03-03 06:00:18.798,0.338,S,0.01
C,2017-03-03 06:02:18.078,0.319,S,0.01
C,2017-03-03 06:07:15.658,0.504,S,0.01
C,2017-03-03 06:07:35.338,0.668,S,0.01
C,2017-03-03 06:09:45.218,0.425,S,0.01
C,2017-03-03 06:12:32.778,0.39,S,0.01
C,2017-03-03 06:13:47.288,0.422,S,0.01
C,2017-03-03 06:14:52.058,0.412,S,0.01
C,2017-03-03 06:18:42.138,0.406,S,0.01
C,2017-03-03 06:20:57.078,0.301,S,0.01
C,2017-03-03 06:23:51.238,0.441,S,0.01
C,2017-03-03 06:25:06.648,0.398,S,0.01
C,2017-03-03 06:25:28.078,0.312,S,0.01
C,2017-03-03 06:25:49.668,0.647,S,0.01
C,2017-03-03 06:28:53.418,0.509,S,0.01
C,2017-03-03 06:29:26.068,0.478,S,0.01
C,2017-03-03 06:29:54.688,0.354,S,0.01
C,2017-03-03 06:30:14.108,0.709,S,0.01
C,2017-03-03 06:33:33.598,0.382,S,0.01
C,2017-03-03 06:33:40.498,0.348,S,0.01
C,2017-03-03 06:34:23.618,0.714,S,0.01
C,2017-03-03 06:37:59.828,0.452,S,0.01
C,2017-03-03 06:43:49.088,0.374,S,0.01
C,2017-03-03 06:47:20.688,0.449,S,0.01
C,2017-03-03 06:48:23.318,0.335,S,0.01
C,2017-03-03 06:50:42.238,0.385,S,0.01
C,2017-03-03 06:51:59.418,0.386,S,0.01
C,2017-03-03 06:53:06.218,0.677,S,0.01
C,2017-03-03 06:59:16.248,0.311,S,0.01
C,2017-03-03 07:02:37.898,0.451,S,0.01
C,2017-03-03 07:03:13.688,0.547,S,0.01
C,2017-03-03 07:05:49.518,0.42,S,0.01
C,2017-03-03 07:08:28.778,0.337,S,0.01
