index,network,station,location,instrument,component,sensitivity,latitude,longitude,elevation_m,depth_km,x_km,y_km,z_km,provider
CI.YEG2..HN,CI,YEG2,,HN,ENZ,"[213855.0, 213940.0, 213897.0]",35.43831,-119.96306,963.0,-0.963,-42.059,-228.705,-0.963,NC
CI.YEG2.2C.HN,CI,YEG2,2C,HN,ENZ,"[213691.0, 213777.0, 213734.0]",35.43831,-119.96306,963.0,-0.963,-42.059,-228.705,-0.963,NC
GM.AA01.01.HH,GM,AA01,01,HH,ENZ,"[471281000.0, 471281000.0, 471281000.0]",39.494368,-121.320827,759.0,-0.759,-156.673,222.959,-0.759,NC
GM.AA01.01.HN,GM,AA01,01,HN,ENZ,"[320788.0, 320788.0, 320788.0]",39.494368,-121.320827,759.0,-0.759,-156.673,222.959,-0.759,NC
GM.AA12.01.HH,GM,AA12,01,HH,ENZ,"[471281000.0, 471281000.0, 471281000.0]",39.53523,-121.4669,385.0,-0.385,-169.145,227.756,-0.385,NC
GM.AA12.01.HN,GM,AA12,01,HN,ENZ,"[320788.0, 320788.0, 320788.0]",39.53523,-121.4669,385.0,-0.385,-169.145,227.756,-0.385,NC
GM.AC06.01.HH,GM,AC06,01,HH,ENZ,"[471281000.0, 471281000.0, 471281000.0]",37.428234,-122.172687,29.3,-0.0293,-236.555,-4.608,-0.029,NC
GM.AC06.01.HN,GM,AC06,01,HN,ENZ,"[320788.0, 320788.0, 320788.0]",37.428234,-122.172687,29.3,-0.0293,-236.555,-4.608,-0.029,NC
GM.AC07.01.HH,GM,AC07,01,HH,ENZ,"[471281000.0, 471281000.0, 471281000.0]",37.428138,-122.175692,32.0,-0.032,-236.821,-4.612,-0.032,NC
GM.AC07.01.HN,GM,AC07,01,HN,ENZ,"[320788.0, 320788.0, 320788.0]",37.428138,-122.175692,32.0,-0.032,-236.821,-4.612,-0.032,NC
GM.AC08.01.HH,GM,AC08,01,HH,ENZ,"[471281000.0, 471281000.0, 471281000.0]",37.427064,-122.173915,32.0,-0.032,-236.667,-4.735,-0.032,NC
GM.AC08.01.HN,GM,AC08,01,HN,ENZ,"[320788.0, 320788.0, 320788.0]",37.427064,-122.173915,32.0,-0.032,-236.667,-4.735,-0.032,NC
GM.AE01.01.HH,GM,AE01,01,HH,ENZ,"[471575000.0, 471575000.0, 471575000.0]",38.585933,-119.519863,1619.0,-1.619,-1.731,120.539,-1.619,NC
GM.AE01.01.HN,GM,AE01,01,HN,ENZ,"[320812.0, 320812.0, 320812.0]",38.585933,-119.519863,1619.0,-1.619,-1.731,120.539,-1.619,NC
GM.AE02.01.HH,GM,AE02,01,HH,ENZ,"[471575000.0, 471575000.0, 471575000.0]",38.52584,-119.5602,2533.0,-2.533,-5.25,113.87,-2.533,NC
GM.AE02.01.HN,GM,AE02,01,HN,ENZ,"[320812.0, 320812.0, 320812.0]",38.52584,-119.5602,2533.0,-2.533,-5.25,113.87,-2.533,NC
GM.AE03.01.HH,GM,AE03,01,HH,ENZ,"[471575000.0, 471575000.0, 471575000.0]",38.50676,-119.496622,1802.0,-1.802,0.295,111.75,-1.802,NC
GM.AE03.01.HN,GM,AE03,01,HN,ENZ,"[320812.0, 320812.0, 320812.0]",38.50676,-119.496622,1802.0,-1.802,0.295,111.75,-1.802,NC
